30 minutes delayed
Contract,Last,Chg,Open Interest,Volume,Turnover,Bid-Ask,Pre-clear,Open,Low,High,Chart
cu2311,67710,-90,42585,17340,5856700000,67700/67710,67800,67710,67390,67720, 
cu2312,67590,-90,147938,66469,22419101800,67580/67590,67680,67640,67250,67650, 
cu2401,67500,-90,100915,33877,11414377350,67510/67520,67590,67550,67200,67570, 
cu2402,67480,-110,40585,8680,2923291800,67480/67490,67590,67480,67180,67540, 
cu2403,67460,-90,26929,4101,1380954050,67470/67500,67550,67500,67180,67560, 
cu2404,67520,-80,9614,825,277940900,67470/67600,67600,67490,67210,67560, 
cu2405,67480,-130,3698,786,264767850,67430/67520,67610,67340,67220,67500, 
cu2406,67460,-100,3404,204,68656800,67420/67480,67560,67490,67200,67540, 
cu2407,67350,-200,2994,154,51815900,67410/67430,67550,67420,67170,67480, 
cu2408,67320,-250,1728,28,9415650,67320/67430,67570,67300,67130,67470, 
cu2409,67360,-150,1344,70,23563350,67120/67380,67510,67350,67120,67490, 
cu2410,67350,-100,443,181,60882100,67340/67350,67450,67280,67090,67440, 
