30 minutes delayed
Contract,Last,Chg,Open Interest,Volume,Turnover,Bid-Ask,Pre-clear,Open,Low,High,Chart
rb2310,3520,11,4950,1860,65136600,3510/3520,3509,3520,3490,3520, 
rb2311,3588,5,95982,22037,790340860,3588/3592,3583,3588,3572,3608, 
rb2312,3622,0,37634,2771,100232880,3620/3626,3622,3630,3606,3650, 
rb2401,3620,4,1910511,1181367,42759685870,3619/3620,3616,3630,3602,3652, 
rb2402,3602,3,39559,354,12756970,3601/3606,3599,3627,3590,3629, 
rb2403,3613,8,488143,87199,3146535990,3613/3614,3605,3615,3593,3637, 
rb2404,3618,8,56826,2696,97351100,3589/3627,3610,3625,3600,3630, 
rb2405,3612,11,296286,57541,2076974630,3612/3613,3601,3610,3588,3634, 
rb2406,3614,14,70471,2633,94798780,3611/3619,3600,3611,3591,3627, 
rb2407,3615,17,59536,2702,97011190,3606/3621,3598,3618,3589,3633, 
rb2408,3619,10,21007,98,3545540,3602/3620,3609,3623,3601,3629, 
rb2409,3619,8,2484,112,4051750,3613/3621,3611,3635,3602,3635, 
