30 minutes delayed
Contract,Last,Chg,Open Interest,Volume,Turnover,Bid-Ask,Pre-clear,Open,Low,High,Chart
cu2310,66550,-910,26905,26635,8922814000,66530/66580,67460,67300,66500,67370, 
cu2311,66460,-880,159994,101575,33981244850,66470/66480,67340,67200,66400,67300, 
cu2312,66280,-970,108282,49769,16611430350,66280/66290,67250,67050,66240,67170, 
cu2401,66220,-940,41933,15360,5121920150,66200/66220,67160,66990,66150,67060, 
cu2402,66180,-920,14585,4383,1458784450,66150/66210,67100,66910,66140,67010, 
cu2403,66190,-870,11254,2433,810372200,66140/66290,67060,66910,66140,67000, 
cu2404,66180,-890,4602,1125,375355650,66180/66290,67070,66910,66120,66980, 
cu2405,66240,-860,1905,560,186566300,66170/66480,67100,66980,66200,67000, 
cu2406,66190,-780,2384,285,94962650,66060/66260,66970,66890,66130,66990, 
cu2407,66200,-860,1990,167,55699300,66110/66250,67060,66880,66180,66970, 
cu2408,66240,-820,1683,254,84733400,66180/66230,67060,66950,66200,66970, 
cu2409,66170,-890,796,86,28693100,66180/66300,67060,66950,66170,66950, 
